# Predicate-to-template mapping for natural-language fact descriptions.
# Format: PREDICATE<tab>template with {subject} and {object} placeholders.
#
# Entity-type-conditioned templates use pipe syntax:
#   PREDICATE|SUBJ_TYPE|OBJ_TYPE<tab>template
# where SUBJ_TYPE and OBJ_TYPE are entity types (e.g. CLINICAL_STUDY, CONDITION)
# or * for any type. Plain PREDICATE lines (no pipes) are equivalent to PREDICATE|*|*.
# Type-specific templates take precedence over generic (*/*) templates.
#
# Lines starting with # are comments. Blank lines are ignored.
#
# The ELSE fallback for unknown predicates is:
#   "{subject} <lowercased predicate> {object}"

# ── General / Taxonomic / Structural ──────────────────────────────────────────
IS_A	{subject} is a kind of {object}
IS_A|CONDITION|CLINICAL_STUDY	{subject} is classified under {object}
IS_A|SYMPTOM|CLINICAL_STUDY	{subject} is classified under {object}
IS_A|PROTEIN|CLINICAL_STUDY	{subject} is classified as {object}
IS_A|GENE|CLINICAL_STUDY	the gene {subject} is classified as {object}
IS_A|MEDICATION|CLINICAL_STUDY	{subject} is a type of {object}
IS_A|CLINICAL_STUDY|CLINICAL_STUDY	{subject} is a type of {object}
IS_A|CLINICAL_STUDY|SYMPTOM	{subject} is classified under {object}
IS_A|CLINICAL_STUDY|MEDICATION	{subject} is a type of {object}
IS_A|CLINICAL_STUDY|SIDE_EFFECT	{subject} is classified as {object}
IS_A|SYMPTOM|CONDITION	{subject} is a type of {object}
IS_A|CONDITION|SYMPTOM	{subject} is a type of {object}
IS_A|SYMPTOM|SIDE_EFFECT	{subject} is classified as {object}
INSTANCE_OF	{subject} is an instance of {object}
SUBCLASS_OF	{subject} is a subclass of {object}
PART_OF	{subject} is part of {object}
HAS_PART	{subject} has part {object}
AUTHOR_OF	{subject} is the author of {object}
COMPRISES	{subject} is made up of {object}
COMPRISES|SIDE_EFFECT|GENE	{subject} involves the gene {object}
COMPRISES|CONDITION|GENE	{subject} involves the gene {object}
COMPRISES|BIOLOGICAL_PROCESS|CLINICAL_STUDY	{subject} involves {object}
COMPRISES|MEDICATION|CLINICAL_STUDY	{subject} contains {object}
COMPRISES|CLINICAL_STUDY|CLINICAL_STUDY	{subject} involves {object}
COMPRISES|CLINICAL_STUDY|GENE	{subject} involves the gene {object}
COMPRISES|SIDE_EFFECT|CLINICAL_STUDY	{subject} involves {object}
CONTAINS	{subject} contains {object}
CONTAINS|DRUG_CLASS|CLINICAL_STUDY	{subject} contains {object}
CONTAINS|DRUG_CLASS|MEDICATION	{subject} contains the ingredient {object}
COMPONENT_OF	{subject} is a component of {object}
MEMBER_OF	{subject} is a member of {object}
HAS_MEMBER	{subject} has member {object}
SUBSET_OF	{subject} is a subset of {object}
SUPERCLASS_OF	{subject} is a superclass of {object}
CATEGORY	{subject} belongs to the category {object}
TYPE_OF	{subject} is a type of {object}
FACET_OF	{subject} is a facet of {object}
ASPECT_OF	{subject} is an aspect of {object}
CONSISTS_OF	{subject} consists of {object}
MANIFESTATION_OF	{subject} is a manifestation of {object}
USE	{subject} is used for {object}
USED_FOR	{subject} is used for {object}
ITEM_OPERATED	{subject} operates {object}
DIFFERENT_FROM	{subject} is different from {object}
SAME_AS	{subject} is the same as {object}
EQUIVALENT_TO	{subject} is equivalent to {object}

# ── Spatial / Geography / Location ────────────────────────────────────────────
FOUND_IN	{subject} is found in {object}
FOUND_IN|GENE|CLINICAL_STUDY	the gene {subject} is found in {object}
FOUND_IN|PROTEIN|CLINICAL_STUDY	the protein {subject} is found in {object}
LOCATED_AT	{subject} is located at {object}
LOCATED_IN	{subject} is located in {object}
LOCATED_ON	{subject} is located on {object}
LOCATION	the location of {subject} is {object}
COUNTRY	{subject} is in the country {object}
CONTINENT	{subject} is on the continent {object}
CAPITAL_OF	{subject} is the capital of {object}
CAPITAL	{subject} has the capital {object}
HAS_CAPITAL	{subject} has the capital {object}
